"hk_hub_user";"rec_load_date";"rec_load_end_date";"status_code";"is_active_flg";"rec_source"
"1001ece2924c89ce4a8793d2d1b624ff";"2016-09-06 19:23:04";"";1;1;"SE_DEMO.dv01b_source_extract_users.0.1"
"10035e6ce803e230d497b07b0effcdab";"2016-09-06 19:23:04";"";1;1;"SE_DEMO.dv01b_source_extract_users.0.1"
"1005eea0778294fc58c450aea4a570d4";"2016-09-06 19:23:04";"";1;1;"SE_DEMO.dv01b_source_extract_users.0.1"
"1007964a1a3ee728cb0ecc7f44e7afb5";"2016-09-06 19:23:04";"";1;1;"SE_DEMO.dv01b_source_extract_users.0.1"
"101208e1167e5d0a3493e95c13d3a372";"2016-09-06 19:23:04";"";1;1;"SE_DEMO.dv01b_source_extract_users.0.1"
"1012f573769feb9d3b0aa01eb0ab4cc6";"2016-09-06 19:23:04";"";1;0;"SE_DEMO.dv01b_source_extract_users.0.1"
"1013ade9754c9bc9153abb0bb4797c02";"2016-09-06 19:23:04";"";1;0;"SE_DEMO.dv01b_source_extract_users.0.1"
"1015629fa816511fc2032272c3b0912d";"2016-09-06 19:23:04";"";1;1;"SE_DEMO.dv01b_source_extract_users.0.1"
"102190b44be469e054fcb6ed006d18fb";"2016-09-06 19:23:04";"";1;1;"SE_DEMO.dv01b_source_extract_users.0.1"
"10245938c37338b11cbc14a7e61c4489";"2016-09-06 19:23:04";"";1;1;"SE_DEMO.dv01b_source_extract_users.0.1"
"10266d007a5a5e72c43d988d8c6bd1d";"2016-09-06 19:23:04";"";1;1;"SE_DEMO.dv01b_source_extract_users.0.1"
"10282bad0a0ddb9cc1aa47f16b430fd4";"2016-09-06 19:23:04";"";1;1;"SE_DEMO.dv01b_source_extract_users.0.1"
"102a122093572c226c9bb8c1fa471624";"2016-09-06 19:23:04";"";1;1;"SE_DEMO.dv01b_source_extract_users.0.1"
"1030c71980583afbb08b7f834ff5a6d8";"2016-09-06 19:23:04";"";1;1;"SE_DEMO.dv01b_source_extract_users.0.1"
"103601f34bbbaa97e8afb3df51e31bcb";"2016-09-06 19:23:04";"";1;0;"SE_DEMO.dv01b_source_extract_users.0.1"
"1039501d1ac8fab9fe9d316a235640b";"2016-09-06 19:23:04";"";1;1;"SE_DEMO.dv01b_source_extract_users.0.1"
